		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	theta[65,1]	-0.9841	0.2206	0.01293	-1.447	-0.9799	-0.5556	501	1550
	theta[66,1]	-0.5308	0.1597	0.00855	-0.8519	-0.5276	-0.2368	501	1550
	theta[67,1]	1.87	0.2058	0.01314	1.483	1.862	2.286	501	1550
	theta[68,1]	0.3081	0.1767	0.008673	-0.0382	0.302	0.6381	501	1550
	theta[69,1]	-0.825	0.1671	0.009082	-1.154	-0.81	-0.5149	501	1550
	theta[70,1]	-1.382	0.2259	0.01281	-1.836	-1.374	-0.9744	501	1550
	theta[71,1]	0.4425	0.207	0.01168	0.01965	0.4502	0.8513	501	1550
	theta[72,1]	0.1066	0.1808	0.01288	-0.2484	0.1175	0.4856	501	1550
	theta[73,1]	-0.3111	0.1602	0.01013	-0.6269	-0.3111	-0.008648	501	1550
	theta[74,1]	-0.7539	0.1779	0.01035	-1.115	-0.7412	-0.4275	501	1550
	theta[75,1]	-1.239	0.1889	0.01159	-1.618	-1.231	-0.8624	501	1550
	theta[76,1]	-0.7918	0.1819	0.01225	-1.191	-0.782	-0.4256	501	1550
	theta[77,1]	1.042	0.2137	0.01628	0.641	1.047	1.439	501	1550
	theta[78,1]	-0.8315	0.1926	0.01032	-1.217	-0.8314	-0.4201	501	1550
	theta[79,1]	-0.9729	0.1813	0.0118	-1.306	-0.9847	-0.6177	501	1550
	theta[80,1]	1.977	0.2334	0.01512	1.521	1.973	2.445	501	1550
	theta[81,1]	0.307	0.1822	0.009519	-0.03086	0.3152	0.6915	501	1550
	theta[82,1]	-0.2324	0.1962	0.01049	-0.5849	-0.2313	0.1815	501	1550
	theta[83,1]	0.772	0.1603	0.01043	0.4402	0.7677	1.082	501	1550
	theta[84,1]	0.7221	0.1869	0.01111	0.3473	0.724	1.066	501	1550
	theta[85,1]	-0.4081	0.2043	0.01143	-0.7488	-0.4293	0.05722	501	1550
	theta[86,1]	1.968	0.212	0.01331	1.569	1.972	2.408	501	1550
	theta[87,1]	-0.2833	0.1817	0.0103	-0.6186	-0.2941	0.1273	501	1550
	theta[88,1]	-1.129	0.189	0.01218	-1.499	-1.117	-0.7691	501	1550
	theta[89,1]	-0.2424	0.191	0.01069	-0.6046	-0.2415	0.1502	501	1550
	theta[90,1]	0.4194	0.1876	0.01151	0.07478	0.4088	0.8306	501	1550
	theta[91,1]	2.382	0.2499	0.01508	1.951	2.378	2.886	501	1550
	theta[92,1]	0.1558	0.1552	0.01104	-0.1383	0.1463	0.4578	501	1550
	theta[93,1]	0.4534	0.1844	0.01038	0.1036	0.4454	0.8486	501	1550
	theta[94,1]	0.06852	0.2236	0.01591	-0.3267	0.06246	0.5283	501	1550
	theta[95,1]	-0.47	0.1768	0.01226	-0.8023	-0.4759	-0.1513	501	1550
	theta[96,1]	-0.05211	0.1474	0.008474	-0.3575	-0.049	0.2355	501	1550
	theta[97,1]	0.8909	0.2207	0.01376	0.4318	0.8832	1.332	501	1550
	theta[98,1]	2.153	0.2223	0.01519	1.728	2.141	2.581	501	1550
