		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	theta[42,1]	1.313	0.215	0.008502	0.8741	1.319	1.72	10000	5001
	theta[43,1]	-0.2435	0.1751	0.006273	-0.5824	-0.2436	0.101	10000	5001
	theta[44,1]	-0.1842	0.2284	0.006658	-0.6174	-0.1902	0.263	10000	5001
	theta[45,1]	-0.0488	0.1628	0.005718	-0.3705	-0.04682	0.2616	10000	5001
	theta[46,1]	0.811	0.1907	0.006932	0.4433	0.8051	1.187	10000	5001
	theta[47,1]	-0.01991	0.1709	0.006409	-0.3436	-0.01829	0.3114	10000	5001
	theta[48,1]	-0.3698	0.1706	0.006959	-0.7156	-0.3602	-0.04705	10000	5001
	theta[49,1]	-0.5253	0.1857	0.005789	-0.8786	-0.5292	-0.1591	10000	5001
	theta[50,1]	-0.1211	0.192	0.007444	-0.5057	-0.1178	0.2453	10000	5001
	theta[51,1]	-0.09454	0.1848	0.006404	-0.4682	-0.09146	0.2522	10000	5001
	theta[52,1]	-0.6417	0.1893	0.006573	-1.013	-0.6391	-0.2585	10000	5001
	theta[53,1]	0.339	0.1688	0.006719	0.01403	0.3359	0.6879	10000	5001
	theta[54,1]	-1.617	0.2194	0.007849	-2.049	-1.614	-1.206	10000	5001
	theta[55,1]	0.5187	0.1947	0.007093	0.1318	0.5214	0.8947	10000	5001
	theta[56,1]	-1.519	0.215	0.007748	-1.985	-1.513	-1.11	10000	5001
	theta[57,1]	-0.1297	0.1778	0.006805	-0.4768	-0.1235	0.2192	10000	5001
	theta[58,1]	-0.661	0.1691	0.005947	-0.9894	-0.6575	-0.3221	10000	5001
	theta[59,1]	-0.4757	0.1786	0.005802	-0.8251	-0.4763	-0.1346	10000	5001
	theta[60,1]	-0.09559	0.2312	0.007999	-0.5219	-0.1051	0.3715	10000	5001
	theta[61,1]	-1.797	0.2979	0.01019	-2.436	-1.788	-1.226	10000	5001
	theta[62,1]	0.9392	0.1772	0.006812	0.6068	0.9367	1.288	10000	5001
	theta[63,1]	-1.458	0.2117	0.006961	-1.888	-1.453	-1.049	10000	5001
	theta[64,1]	-0.1848	0.1606	0.005681	-0.5012	-0.1857	0.1245	10000	5001
	theta[65,1]	-0.9857	0.2024	0.006431	-1.419	-0.9692	-0.624	10000	5001
	theta[66,1]	-0.5246	0.1759	0.006809	-0.8587	-0.525	-0.1873	10000	5001
	theta[67,1]	1.897	0.2047	0.007648	1.506	1.892	2.305	10000	5001
	theta[68,1]	0.3274	0.1738	0.006468	-0.00891	0.3228	0.6705	10000	5001
	theta[69,1]	-0.8445	0.1776	0.006969	-1.206	-0.8453	-0.5018	10000	5001
	theta[70,1]	-1.383	0.2393	0.008447	-1.878	-1.368	-0.9703	10000	5001
	theta[71,1]	0.4628	0.2112	0.006523	0.06296	0.4654	0.8676	10000	5001
	theta[72,1]	0.112	0.1767	0.007231	-0.2517	0.1093	0.4457	10000	5001
	theta[73,1]	-0.3247	0.1547	0.00582	-0.614	-0.3254	-0.01897	10000	5001
	theta[74,1]	-0.7506	0.1816	0.006515	-1.085	-0.7529	-0.3932	10000	5001
	theta[75,1]	-1.22	0.1891	0.006288	-1.604	-1.214	-0.8568	10000	5001
	theta[76,1]	-0.7961	0.1801	0.006398	-1.154	-0.7845	-0.4511	10000	5001
	theta[77,1]	1.039	0.2151	0.008359	0.6209	1.039	1.468	10000	5001
	theta[78,1]	-0.8261	0.2075	0.008174	-1.201	-0.8366	-0.3929	10000	5001
	theta[79,1]	-0.9627	0.181	0.006499	-1.318	-0.9624	-0.6021	10000	5001
	theta[80,1]	2.009	0.2205	0.009128	1.592	2.009	2.448	10000	5001
	theta[81,1]	0.3071	0.1891	0.005902	-0.09462	0.3154	0.6652	10000	5001
	theta[82,1]	-0.226	0.2082	0.007578	-0.6266	-0.2245	0.1881	10000	5001
	theta[83,1]	0.7868	0.1664	0.007428	0.4607	0.7802	1.123	10000	5001
	theta[84,1]	0.7414	0.1857	0.006427	0.3809	0.7408	1.127	10000	5001
	theta[85,1]	-0.4093	0.1964	0.007216	-0.7614	-0.4201	0.01884	10000	5001
	theta[86,1]	1.996	0.2145	0.009183	1.581	1.996	2.419	10000	5001
	theta[87,1]	-0.2955	0.1813	0.006844	-0.6481	-0.2995	0.06237	10000	5001
	theta[88,1]	-1.12	0.1876	0.006775	-1.501	-1.108	-0.7666	10000	5001
	theta[89,1]	-0.2338	0.1791	0.006231	-0.5911	-0.232	0.1131	10000	5001
	theta[90,1]	0.4373	0.1923	0.006315	0.08982	0.4313	0.8346	10000	5001
	theta[91,1]	2.412	0.2574	0.01143	1.943	2.398	2.959	10000	5001
	theta[92,1]	0.1615	0.1654	0.006575	-0.1452	0.1541	0.505	10000	5001
	theta[93,1]	0.4438	0.1798	0.00603	0.06495	0.4542	0.7818	10000	5001
	theta[94,1]	0.06585	0.2257	0.007284	-0.3507	0.05886	0.5001	10000	5001
	theta[95,1]	-0.4544	0.1748	0.006714	-0.7784	-0.4553	-0.09992	10000	5001
	theta[96,1]	-0.04277	0.1589	0.006129	-0.3528	-0.04018	0.2581	10000	5001
	theta[97,1]	0.9109	0.223	0.007694	0.4786	0.9073	1.358	10000	5001
	theta[98,1]	2.19	0.2362	0.01046	1.748	2.191	2.676	10000	5001
	theta[99,1]	0.7783	0.1753	0.006448	0.4405	0.7754	1.128	10000	5001
	theta[100,1]	1.046	0.2394	0.00731	0.533	1.049	1.486	10000	5001
	theta[101,1]	-1.083	0.1784	0.006647	-1.431	-1.085	-0.7397	10000	5001
	theta[102,1]	0.4833	0.2012	0.007383	0.09798	0.4831	0.9031	10000	5001
	theta[103,1]	0.05934	0.1751	0.006562	-0.2679	0.05289	0.4242	10000	5001
	theta[104,1]	-1.475	0.2164	0.00794	-1.927	-1.471	-1.068	10000	5001
	theta[105,1]	0.2659	0.1771	0.006573	-0.06727	0.2687	0.6123	10000	5001
	theta[106,1]	-0.2764	0.1729	0.006765	-0.6111	-0.2754	0.05092	10000	5001
	theta[107,1]	1.138	0.2152	0.007215	0.6961	1.139	1.568	10000	5001
	theta[108,1]	-0.589	0.1759	0.006285	-0.9377	-0.5879	-0.2479	10000	5001
	theta[109,1]	-0.2422	0.1829	0.006348	-0.5914	-0.2517	0.1289	10000	5001
	theta[110,1]	-0.6944	0.1827	0.006492	-1.045	-0.6968	-0.3357	10000	5001
	theta[111,1]	-0.1236	0.1748	0.00584	-0.4698	-0.1305	0.2292	10000	5001
	theta[112,1]	0.3174	0.1631	0.005679	0.004027	0.3168	0.6301	10000	5001
	theta[113,1]	-0.9284	0.1825	0.006556	-1.29	-0.9285	-0.5753	10000	5001
	theta[114,1]	0.7831	0.1855	0.007229	0.4257	0.7742	1.147	10000	5001
	theta[115,1]	-0.9069	0.1749	0.00606	-1.268	-0.9054	-0.5825	10000	5001
	theta[116,1]	-0.837	0.1818	0.007377	-1.189	-0.8401	-0.4809	10000	5001
	theta[117,1]	1.112	0.2092	0.008289	0.6822	1.115	1.511	10000	5001
	theta[118,1]	-0.8296	0.1679	0.006099	-1.161	-0.8283	-0.4973	10000	5001
	theta[119,1]	0.605	0.1888	0.007692	0.2314	0.608	0.9586	10000	5001
	theta[120,1]	-0.1065	0.159	0.00495	-0.4241	-0.1037	0.2023	10000	5001
	theta[121,1]	0.72	0.1841	0.006281	0.3661	0.7206	1.087	10000	5001
	theta[122,1]	1.829	0.2084	0.008959	1.422	1.824	2.248	10000	5001
	theta[123,1]	1.36	0.1923	0.007116	0.971	1.359	1.733	10000	5001
	theta[124,1]	-0.1653	0.1932	0.006832	-0.5258	-0.1679	0.2072	10000	5001
	theta[125,1]	-1.977	0.2583	0.008568	-2.476	-1.969	-1.5	10000	5001
	theta[126,1]	2.254	0.243	0.01044	1.816	2.242	2.741	10000	5001
	theta[127,1]	0.731	0.1954	0.006857	0.36	0.7362	1.127	10000	5001
	theta[128,1]	0.4578	0.2342	0.006831	-0.01894	0.4546	0.9122	10000	5001
	theta[129,1]	-0.009423	0.1743	0.007372	-0.3546	-0.007739	0.3265	10000	5001
	theta[130,1]	0.4317	0.1985	0.006557	0.05545	0.429	0.8366	10000	5001
	theta[131,1]	-0.3483	0.1844	0.006989	-0.7199	-0.3507	0.02984	10000	5001
	theta[132,1]	0.4686	0.182	0.00738	0.1371	0.4657	0.8383	10000	5001
	theta[133,1]	-0.8977	0.1947	0.007072	-1.28	-0.8905	-0.5304	10000	5001
	theta[134,1]	-1.175	0.1995	0.007202	-1.602	-1.162	-0.8155	10000	5001
	theta[135,1]	0.8352	0.191	0.008021	0.4743	0.8334	1.211	10000	5001
	theta[136,1]	1.503	0.2183	0.007676	1.07	1.504	1.933	10000	5001
	theta[137,1]	-0.3431	0.2	0.006987	-0.7323	-0.3476	0.05431	10000	5001
	theta[138,1]	-1.31	0.2127	0.007331	-1.767	-1.297	-0.9081	10000	5001
	theta[139,1]	0.7181	0.1846	0.006302	0.3722	0.715	1.087	10000	5001
	theta[140,1]	-0.1544	0.1667	0.005199	-0.4768	-0.1511	0.1641	10000	5001
	theta[141,1]	-1.764	0.2432	0.008772	-2.249	-1.756	-1.311	10000	5001
	theta[142,1]	0.04969	0.2106	0.006959	-0.3591	0.05149	0.4601	10000	5001
	theta[143,1]	-0.6103	0.1716	0.006895	-0.9458	-0.6094	-0.2644	10000	5001
	theta[144,1]	-0.5907	0.1702	0.00565	-0.9032	-0.5991	-0.2081	10000	5001
	theta[145,1]	-1.11	0.2051	0.006395	-1.519	-1.106	-0.7096	10000	5001
	theta[146,1]	1.775	0.227	0.00785	1.296	1.782	2.194	10000	5001
	theta[147,1]	-0.1739	0.1554	0.005361	-0.466	-0.1743	0.1332	10000	5001
	theta[148,1]	-1.553	0.2213	0.00847	-2.04	-1.545	-1.143	10000	5001
	theta[149,1]	0.2262	0.1846	0.006379	-0.1355	0.2279	0.574	10000	5001
	theta[150,1]	0.4234	0.1962	0.007781	0.05027	0.4138	0.8286	10000	5001
	theta[151,1]	-0.8361	0.1761	0.006077	-1.197	-0.837	-0.4919	10000	5001
	theta[152,1]	-2.302	0.3159	0.009643	-2.925	-2.294	-1.695	10000	5001
	theta[153,1]	-0.6348	0.1642	0.006154	-0.9586	-0.633	-0.3189	10000	5001
	theta[154,1]	0.6022	0.19	0.00799	0.2418	0.6059	0.9661	10000	5001
